Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,DistanceToDowntown,Log_TotalGHGEmissions
SOUTHWEST,Bâtiments Industriels et de Stockage,1969.0,1.0,2.0,52088.0,,7.432807129199432,3.911822985425479
LAKE UNION,Bâtiments d'Hébergement,1998.0,1.0,5.0,93920.0,79.0,2.7681240625353674,5.738505910714586
LAKE UNION,Bâtiments Autres,1900.0,1.0,1.0,50000.0,,2.5203808565802803,5.423583445380434
MAGNOLIA / QUEEN ANNE,Bâtiments Industriels et de Stockage,1926.0,1.0,2.0,50292.0,,2.3863293114189013,1.3862943611198906
MAGNOLIA / QUEEN ANNE,Bâtiments d'Hébergement,1998.0,1.0,7.0,153315.0,76.0,2.587544785782226,5.826471972435803
NORTHWEST,Bâtiments Commerciaux et Administratifs,1957.0,1.0,2.0,91130.0,,10.625941490515755,5.174849452547792
NORTHWEST,Bâtiments d'Hébergement,1968.0,1.0,4.0,64893.0,70.0,11.579966889359742,5.343577497952901
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,3.0,44558.0,78.0,0.4563584472454095,3.3765631007037946
GREATER DUWAMISH,Bâtiments Autres,1999.0,1.0,6.0,1258280.0,,1.0749984020704002,6.795291819259501
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1924.0,1.0,2.0,179161.0,,3.6946933471813983,4.57913417143725
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1965.0,1.0,2.0,58640.0,,3.6946933471813983,3.34603697048488
GREATER DUWAMISH,Bâtiments Autres,1999.0,1.0,3.0,1172127.0,,1.574664861456401,7.128936906982807
GREATER DUWAMISH,Bâtiments d'Hébergement,2005.0,1.0,9.0,153882.0,64.0,1.3701133808763424,5.964530048367777
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,1916.0,1.0,4.0,79600.0,34.0,3.782417716850543,2.87976009730157
GREATER DUWAMISH,Bâtiments Commerciaux et Administratifs,1980.0,14.0,2.0,302494.0,,9.116373217934585,6.619473026458324
NORTH,Bâtiments Autres,2008.0,1.0,6.0,84739.0,,10.891212088468446,5.096262380063693
DOWNTOWN,Bâtiments d'Hébergement,1999.0,1.0,1.0,934292.0,,0.860533030259317,7.402122198304855
CENTRAL,Bâtiments de Soins de Santé,1990.0,6.0,5.0,597519.0,34.0,1.8141961545191834,8.498485284694775
LAKE UNION,Bâtiments Industriels et de Stockage,1991.0,1.0,3.0,67236.0,91.0,5.151055622692895,2.363680192353857
EAST,Bâtiments de Soins de Santé,2000.0,9.0,8.0,1158691.0,29.0,0.7477657801151478,9.2813178062484
NORTHEAST,Bâtiments Éducatifs et Culturels,1928.0,1.0,2.0,55653.0,98.0,6.909271496404259,4.302442155331039
NORTHEAST,Bâtiments d'Hébergement,1931.0,1.0,16.0,106860.0,49.0,6.442265109049707,6.153944725854957
NORTH,Bâtiments Commerciaux et Administratifs,1972.0,1.0,5.0,50759.0,62.0,12.999689214873225,3.9138213873695253
NORTHEAST,Bâtiments Éducatifs et Culturels,1952.0,1.0,2.0,56772.0,46.0,6.537829461074722,4.449334754429963
NORTHEAST,Bâtiments Éducatifs et Culturels,1952.0,1.0,3.0,103000.0,42.0,6.61197499508935,5.016816153171337
DOWNTOWN,Bâtiments Autres,1914.0,1.0,7.0,128766.0,,0.6752528008843178,4.064057161283644
DOWNTOWN,Bâtiments Autres,1955.0,1.0,15.0,230880.0,,0.23794502463863396,6.074426067822329
MAGNOLIA / QUEEN ANNE,Bâtiments Autres,1973.0,1.0,1.0,76086.0,,5.1108768938631846,4.628984364087346
MAGNOLIA / QUEEN ANNE,Bâtiments Commerciaux et Administratifs,1927.0,1.0,5.0,151000.0,1.0,2.5909083513838214,6.49532597707234
DOWNTOWN,Bâtiments d'Hébergement,1961.0,1.0,4.0,122309.0,8.0,1.52890285042844,6.96708965702724
DOWNTOWN,Bâtiments Autres,1995.0,4.0,3.0,215476.0,,1.386945891954826,6.462077365760166
DOWNTOWN,Bâtiments d'Hébergement,2003.0,1.0,8.0,215473.0,29.0,1.1592039177351021,6.6616501160305805
DOWNTOWN,Bâtiments Autres,1980.0,1.0,2.0,69400.0,,0.6882304760570503,5.712940412440966
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1914.0,1.0,4.0,56500.0,98.0,0.2958437980008188,3.811539466849824
GREATER DUWAMISH,Bâtiments Industriels et de Stockage,2008.0,1.0,4.0,203504.0,72.0,1.3180575051366632,3.3101779832749867
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1968.0,1.0,3.0,74003.0,20.0,1.9246805276032395,4.237578730308009
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1981.0,1.0,4.0,59158.0,57.0,1.824301441927226,4.23685634351072
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1978.0,1.0,12.0,212210.0,39.0,1.553146733044462,5.012433676037635
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1989.0,1.0,25.0,369996.0,74.0,0.8344661330621196,5.156638588216099
