Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,DistanceToDowntown,proportion_surface_parking,proportion_surface_building,Log_SiteEnergyUseWN(kBtu)
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,6.0,66.0,0.31399890430588384,0.0,1.0,15.247807809555614
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1922.0,1.0,15.0,89.0,0.16612132157566206,0.0,1.0,16.759041177328417
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1929.0,1.0,22.0,98.0,0.1502370429105262,0.0,1.0,16.164197729269574
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1983.0,1.0,47.0,94.0,0.05063691673978152,0.0,1.0,17.615118467035916
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1986.0,1.0,41.0,84.0,0.13509377424283028,0.21940564923099873,0.7805943507690013,17.018396056274597
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1950.0,1.0,6.0,,0.17740179276297124,0.015281421874828468,0.9847185781251715,14.465966680684506
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1968.0,1.0,8.0,81.0,0.24524973145750903,0.39883880689624607,0.6011611931037539,15.135459299460559
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1991.0,1.0,29.0,95.0,0.2673809164336684,0.3104518631267285,0.6895481368732715,16.74694252200605
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1980.0,1.0,34.0,81.0,0.21483386075238944,0.20933567810989723,0.7906643218901027,17.299118641387608
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1972.0,1.0,14.0,95.0,0.20206323150005695,0.1272969673605757,0.8727030326394243,16.10229324808528
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1969.0,1.0,49.0,89.0,0.1281892615192152,0.32843911752793886,0.6715608824720611,17.676621775169505
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2002.0,1.0,37.0,93.0,0.06131572439132687,0.15622312866222188,0.8437768713377781,17.554886172588954
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1973.0,1.0,42.0,28.0,0.1942700103341139,0.27765006054875957,0.7223499394512405,18.086171920573264
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1907.0,1.0,8.0,91.0,0.08162094769803738,0.0,1.0,16.0679060630521
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1990.0,1.0,63.0,89.0,0.2796303405883884,0.11778710792059259,0.8822128920794075,17.93578574660908
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2001.0,1.0,14.0,,0.3433224637793253,0.0,1.0,16.90477065113468
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2003.0,1.0,8.0,69.0,0.32342134017863805,0.1536611035934446,0.8463388964065554,16.452616055422414
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2006.0,1.0,13.0,98.0,0.47263098400612463,0.14158262635597274,0.8584173736440273,16.444713852804036
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1909.0,1.0,7.0,99.0,0.5359213717782795,0.07252065212640413,0.9274793478735959,14.904276277895741
NORTHEAST,Bâtiments de Vente et de Services,1978.0,1.0,2.0,83.0,6.336535441412469,0.0,1.0,15.718716063451032
