Neighborhood,GroupedPrimaryPropertyTypes,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,DistanceToDowntown,Log_SiteEnergyUseWN(kBtu)
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1930.0,1.0,17.0,174790.0,91.0,0.9837064823193604,15.905081127401322
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1916.0,1.0,5.0,73399.0,61.0,0.9042320632775912,15.199845187564142
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1969.0,1.0,20.0,233517.0,90.0,1.0265969543632494,16.571893104167042
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2009.0,1.0,25.0,529375.0,95.0,1.228363575296688,17.112014645771065
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1968.0,1.0,12.0,206000.0,91.0,1.3876182458257516,16.021142912893474
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2009.0,1.0,36.0,669915.0,97.0,1.1833943809981855,17.488261062058804
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1990.0,1.0,16.0,339240.0,94.0,1.1290005652185096,16.731592134498513
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,7.0,89550.0,85.0,0.26243247494373967,15.23507805251312
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1900.0,1.0,6.0,89355.0,66.0,0.31399890430588384,15.247807809555614
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1922.0,1.0,15.0,388934.0,89.0,0.16612132157566206,16.759041177328417
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1929.0,1.0,22.0,384302.0,98.0,0.1502370429105262,16.164197729269574
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1983.0,1.0,47.0,1323055.0,94.0,0.05063691673978152,17.615118467035916
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1986.0,1.0,41.0,460489.0,84.0,0.13509377424283028,17.018396056274597
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1950.0,1.0,6.0,89699.0,,0.17740179276297124,14.465966680684506
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1968.0,1.0,8.0,94948.0,81.0,0.24524973145750903,15.135459299460559
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1991.0,1.0,29.0,438072.0,95.0,0.2673809164336684,16.74694252200605
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1980.0,1.0,34.0,614158.0,81.0,0.21483386075238944,17.299118641387608
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1972.0,1.0,14.0,162993.0,95.0,0.20206323150005695,16.10229324808528
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1969.0,1.0,49.0,754455.0,89.0,0.1281892615192152,17.676621775169505
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2002.0,1.0,37.0,888049.0,93.0,0.06131572439132687,17.554886172588954
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1973.0,1.0,42.0,446184.0,28.0,0.1942700103341139,18.086171920573264
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1907.0,1.0,8.0,201480.0,91.0,0.08162094769803738,16.0679060630521
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1990.0,1.0,63.0,1195387.0,89.0,0.2796303405883884,17.93578574660908
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2001.0,1.0,14.0,310490.0,,0.3433224637793253,16.90477065113468
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2003.0,1.0,8.0,168870.0,69.0,0.32342134017863805,16.452616055422414
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2006.0,1.0,13.0,319539.0,98.0,0.47263098400612463,16.444713852804036
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1909.0,1.0,7.0,106099.0,99.0,0.5359213717782795,14.904276277895741
NORTHEAST,Bâtiments de Vente et de Services,1978.0,1.0,2.0,89200.0,83.0,6.336535441412469,15.718716063451032
NORTHEAST,Bâtiments Commerciaux et Administratifs,1971.0,1.0,23.0,474546.0,77.0,6.355135458378518,17.216620635815563
NORTHEAST,Bâtiments Autres,1969.0,1.0,5.0,36000.0,96.0,6.334464586501841,17.21799015057585
NORTHEAST,Bâtiments Commerciaux et Administratifs,1961.0,1.0,5.0,99005.0,70.0,6.359757060200648,15.426572051676704
NORTHEAST,Bâtiments Commerciaux et Administratifs,2002.0,1.0,6.0,90803.0,88.0,6.312084872397068,15.30303775257093
NORTHEAST,Bâtiments Commerciaux et Administratifs,2002.0,1.0,5.0,137929.0,93.0,6.232442440948611,15.768019813512101
DOWNTOWN,Bâtiments Industriels et de Stockage,1964.0,1.0,5.0,93660.0,,1.215037935066038,13.754018259043661
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1980.0,1.0,18.0,349055.0,79.0,1.235528950513338,17.002891133687264
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1979.0,1.0,24.0,427155.0,79.0,1.2289753337146283,17.079138959284712
DOWNTOWN,Bâtiments Commerciaux et Administratifs,1982.0,1.0,6.0,272410.0,64.0,2.0158595800013037,16.820159013962865
DOWNTOWN,Bâtiments Commerciaux et Administratifs,2002.0,1.0,6.0,203880.0,74.0,1.4361330179890126,16.517772371964202
